t [s]	 PWM output 3	 battery voltage (V)	 current (A)	 north velocity(m/s)	 down velocity (m/s)	 pitch (deg)	 voltage 1 (V)	throttle	rpm
0	1000	25.31583	0.05825472	0.3200232	0.05492619	2.261899	2.521994	1.0016	0
0.5	1000	25.31934	0.07343377	0.3527555	0.06298832	2.329799	2.517107	1.0016	0
1	1000	25.31212	0.05333178	0.3958369	0.07289366	2.410476	2.517107	1.0016	0
1.5	1000	25.32142	0.07261328	0.4386106	0.07924602	2.482657	2.517107	1.0016	0
2	1074	25.31946	0.07138254	0.4769022	0.08441374	2.548143	2.517107	1.0016	0
2.5	1100	25.31738	0.07110905	0.5049655	0.08804528	2.615887	2.517107	1.0016	0
3	1100	25.32302	0.07999768	0.5115194	0.09280577	2.687119	2.517107	1.0016	0
3.5	1100	25.31626	0.05866497	0.4930454	0.09737074	2.757586	2.517107	1.0016	0
4	1100	25.32339	0.08934215	0.4444579	0.09963346	2.81501	2.517107	1.0016	0
4.5	1100	25.32186	0.07712597	0.3722996	0.1039287	2.879405	2.517107	1.0016	0
5	1100	25.32081	0.07302352	0.2885028	0.1037162	2.956022	2.517107	1.0016	0
5.5	1100	25.32142	0.07753621	0.2071337	0.09985906	3.031826	2.517107	1.0956	0
6	1100	25.32346	0.08081818	0.1357312	0.09732968	3.095556	2.517107	1.0956	0
6.5	1100	25.32419	0.07261328	0.08491325	0.09341032	3.165408	2.517107	1.0956	0
7	1100	25.31098	0.05579326	0.05255928	0.09022005	3.227456	2.517107	1.0956	0
7.5	1100	25.3181	0.06892107	0.03611616	0.08803016	3.296731	2.517107	1.0956	0
8	1100	25.32136	0.07712597	0.03425911	0.08409876	3.370561	2.517107	1.0956	0
8.5	1100	25.32114	0.07429983	0.04059573	0.07937526	3.436035	2.517107	1.0956	0
9	1100	25.3237	0.08081818	0.05401308	0.07631261	3.509136	2.517107	1.0956	0
9.5	1100	25.32081	0.07589523	0.07009435	0.07094833	3.565213	2.517107	1.0956	0
10	1100	25.31534	0.05743423	0.08794594	0.06664302	3.621015	2.517107	1.0956	0
10.5	1100	25.32444	0.08327964	0.1069322	0.06017161	3.686748	2.517107	1.0956	0
11	1100	25.32167	0.0746645	0.1273679	0.05210912	3.7515	2.517107	1.0956	0
11.5	1100	25.32204	0.07015181	0.1455475	0.04507457	3.810642	2.517107	1.0956	0
12	1100	25.32376	0.07835671	0.1618179	0.03889151	3.867606	2.517107	1.0956	0
12.5	1100	25.31903	0.07794646	0.1788986	0.03116258	3.9272	2.517107	1.0956	0
13	1100	25.31239	0.05866497	0.1942019	0.02243176	3.978842	2.517107	1.0956	0
13.5	1100	25.31952	0.0672801	0.2072508	0.01522235	4.031221	2.517107	1.0956	0
14	1100	25.31977	0.07548499	0.2176576	0.007864255	4.086047	2.517107	1.0956	0
14.5	1100	25.32204	0.08245915	0.2243914	0.001466001	4.137017	2.517107	1.0956	0
15	1100	25.3229	0.08081818	0.2291507	-0.001869205	4.188907	2.517107	1.0956	0
15.5	1150	25.28369	0.04102445	0.2252932	-0.008199265	4.213607	2.492669	1.0956	0
16	1195	25.14644	1.011253	0.2158754	-0.006659314	3.776885	2.507331	1.0956	0
16.5	1150	25.1513	1.178769	0.2225587	-0.02246057	3.792942	2.517107	1.0956	0
17	1179	25.14902	0.9960737	0.2469064	-0.02195552	3.944434	2.512219	1.0956	0
17.5	1150	25.11651	1.530622	0.2327266	-0.02509393	3.771697	2.517107	1.174	13721
18	1150	25.11763	1.749009	0.2279703	-0.02664012	3.891383	2.517107	1.1504	14521
18.5	1150	25.11743	1.441189	0.2361296	-0.02414399	3.917919	2.517107	1.1504	14699
19	1224	25.10809	1.574929	0.2078808	-0.03003753	3.894892	2.517107	1.1504	14870
19.5	1200	25.10378	1.793589	0.1848574	-0.02754461	3.871221	2.512219	1.1504	15123
20	1187	25.09383	1.702925	0.1904439	-0.02303341	4.002149	2.512219	1.1818	15550
20.5	1400	24.68657	8.794822	0.1777706	0.001528089	3.652874	2.458456	1.1896	15705
21	1703	23.01785	56.5801	0.2147321	-0.7290783	-5.586895	2.399805	1.2131	16320
21.5	1697	22.77231	67.31784	0.5675837	-2.913336	-7.512778	2.438905	1.1504	16425
22	1515	24.17704	22.83544	0.5630675	-2.521073	-0.1619289	2.453568	1.5109	40349
22.5	1465	24.09481	26.52805	0.418273	-1.393237	1.22357	2.458456	1.7696	61311
23	1598	24.07115	25.90653	0.1295987	-0.5453665	1.876624	2.438905	1.558	51951
23.5	1417	24.04828	24.82389	-0.05329256	0.261756	1.202601	2.473118	1.5501	46087
24	1416	23.69923	32.87084	-0.4382551	0.4516575	3.306008	2.492669	1.5658	49435
24.5	1530	23.83127	31.34177	-0.7523192	0.5504891	-3.119113	2.443793	1.558	48381
25	1584	23.70845	34.21809	-0.6312509	0.691529	-6.977964	2.424242	1.2523	36136
25.5	1609	23.73881	34.90401	-0.4137489	0.6762218	-5.725991	2.44868	1.4169	37054
26	1493	23.58128	39.16112	-0.2747245	0.3424744	-5.027733	2.468231	1.5501	47926
26.5	1554	23.54189	29.11998	-0.2102552	-0.05825195	-6.167481	2.44868	1.5736	51557
27	1602	23.57938	37.91767	-0.03783602	-0.4191514	-8.885658	2.453568	1.5344	49919
27.5	1616	23.5181	39.18328	0.4617676	-0.7249277	-9.490023	2.453568	1.4561	44872
28	1419	23.45049	40.13258	0.8571405	-1.14553	-6.579523	2.487781	1.5266	47481
28.5	1575	23.45854	40.38365	0.7788343	-1.639581	-4.889719	2.468231	1.6207	53728
29	1601	23.47256	39.35065	0.6725842	-1.953503	-7.14245	2.42913	1.5423	50662
29.5	1563	23.63058	33.51246	0.7074819	-1.781386	-8.641755	2.453568	1.5266	43256
30	1554	23.65301	31.06002	0.6483878	-1.494884	-7.325245	2.463343	1.5736	49676
30.5	1567	23.66733	31.4157	0.4842914	-1.290313	-6.246216	2.473118	1.5423	49676
31	1480	23.63002	31.21099	0.3456343	-1.20094	-8.748043	2.453568	1.4639	46613
31.5	1540	23.5819	30.59234	0.3749239	-1.275912	-9.404367	2.473118	1.3777	46402
32	1502	23.85387	26.87758	0.6425873	-1.095973	-11.36022	2.478006	1.4874	45983
32.5	1558	23.94088	22.63456	0.8104759	-0.1951099	-10.48839	2.482893	1.5188	47261
33	1473	23.93427	24.33283	1.012465	0.592875	-8.409046	2.463343	1.5893	48496
33.5	1409	23.74355	26.96742	1.2788	1.247555	-8.772893	2.463343	1.4718	43625
34	1461	23.68506	24.05127	1.376208	1.456314	-6.894071	2.478006	1.4874	42010
34.5	1425	23.56309	32.05076	1.380371	1.129103	-4.771913	2.463343	1.4639	43164
35	1531	23.54213	35.53989	1.291259	0.7962243	-6.779137	2.458456	1.5188	43347
35.5	1577	23.48503	37.66085	1.253325	0.3325831	-6.116337	2.478006	1.4874	43256
36	1491	23.47157	36.47033	1.200915	-0.1102211	-5.715588	2.458456	1.5188	43256
36.5	1550	23.48325	37.56445	0.9898939	-0.5780954	-4.966969	2.473118	1.5344	46827
37	1513	23.47237	36.83791	0.4688206	-0.9916957	-0.08673241	2.44868	1.5266	47152
37.5	1494	23.66498	31.89286	-0.1133357	-1.187216	-0.2148517	2.473118	1.5188	46296
38	1477	23.68344	29.21885	-0.6563434	-0.9200885	-1.280602	2.478006	1.5109	46192
38.5	1487	23.8071	26.61995	-0.9984927	-0.3041932	-0.7441114	2.473118	1.558	46720
39	1520	23.73683	29.10001	-1.34041	0.2748239	0.6829944	2.482893	1.5031	44872
39.5	1483	23.7039	30.26046	-1.705685	0.6782881	0.7864043	2.473118	1.5344	42010
40	1510	23.61699	31.0793	-2.183459	0.8064936	3.824706	2.473118	1.4874	41246
40.5	1552	23.65289	31.87964	-2.535855	0.9492542	2.842325	2.458456	1.4718	44192
41	1519	23.54637	33.52067	-2.655158	1.062502	0.03593378	2.478006	1.4796	42624
41.5	1510	23.55203	35.08698	-2.934534	0.9161651	-0.3398195	2.443793	1.5658	45573
42	1624	23.49911	35.08986	-3.145143	0.6632296	-3.383049	2.44868	1.5109	51170
42.5	1571	23.44625	37.16282	-3.292976	0.3648616	-4.021047	2.443793	1.5188	48844
43	1499	23.41675	36.15895	-3.275777	0.159841	-6.070857	2.463343	1.5736	49555
43.5	1534	23.41669	38.09079	-3.051973	-0.07746814	-8.60662	2.438905	1.605	53168
44	1645	23.44803	35.35651	-2.917373	-0.2015429	-5.539425	2.434018	1.5815	50536
44.5	1641	23.49019	35.2281	-3.207065	-0.1774586	-5.318939	2.434018	1.5266	48266
45	1549	23.51669	33.54282	-3.498543	-0.07129527	-5.625574	2.438905	1.5658	49435
45.5	1490	23.42271	31.02064	-3.779921	-0.01811147	-6.836524	2.482893	1.6912	57190
46	1484	23.40353	36.52694	-3.783847	-0.1911152	-7.029768	2.482893	1.6128	54736
46.5	1596	23.46905	35.71917	-3.395982	-0.189471	-5.730635	2.434018	1.558	50788
47	1645	23.44863	34.64333	-3.022265	-0.1098399	-5.609083	2.424242	1.4012	43073
47.5	1520	23.38995	32.20912	-2.703833	0.05446176	-6.202212	2.458456	1.4796	42624
48	1517	23.43125	34.92904	-2.437616	0.08102896	-7.491546	2.463343	1.6207	51819
48.5	1562	23.43359	35.46031	-2.158116	0.1106709	-6.225193	2.44868	1.652	54884
49	1535	23.46881	33.99656	-1.834141	0.1822779	-5.505501	2.473118	1.5188	45070
