Name	m [g]	Dc [mm]	Do [mm]	Lo [mm]	Ds [mm]	Ls [mm]	Imax [A]	Vmin [V]	Kv [rpm/V]	Kt [N.m/A]	I0 [A]	R [O]	Km [N.m/sqrt(O)]	Stator slots [-]	Mag. poles [-]
kde600xf-530-g3	400	NaN	46	62	35	38	88	22.2	530	0.018017541	1.2	0.017	0.138188229	12	10
kde550xf-565-g3	350	NaN	46	56	35	32	75	22.2	565	0.01690141	1.4	0.021	0.116630809	12	10
kde600xf-1100-g3	350	NaN	46	56	35	32	112	14.8	1100	0.008681179	3.4	0.007	0.103759932	12	10
kde700xf-295-g3	655	NaN	56	74.1	45	41	139	37	295	0.032370497	1.1	0.018	0.241275438	12	10
kde700xf-455-g3	655	NaN	56	74.7	45	41	135	37	455	0.020987465	2.2	0.01	0.20987465	12	10
kde700xf-505-g3	655	NaN	56	74.7	45	41	162	29.6	505	0.018909498	2.6	0.007	0.226011732	12	10
kde500xf-1350-g3	300	NaN	46	52	35	28	112	14.8	1350	0.007073553	4.2	0.006	0.091319177	12	10
kde550xf-1200-g3	300	NaN	46	52	35	28	125	14.8	1200	0.007957747	3.3	0.007	0.095113271	12	10
kde700xf-535-g3	520	NaN	56	63.7	45	30	126	29.6	535	0.017849152	2.4	0.009	0.188146587	12	10
kde2315xf-2050	64	10	28.3	28.5	23	15	44	7.4	2050	0.004658193	1.3	0.034	0.025262601	12	14
kde2315xf-885	64	10	28.3	28.5	23	15	24	11.1	885	0.010790166	0.5	0.127	0.030277935	12	14
kde2315xf-965	64	10	28.3	28.5	23	15	26	11.1	965	0.009895644	0.5	0.102	0.030984464	12	14
kde3520xf-400	190	13	42.2	45	35	20	45	14.8	400	0.023873241	0.3	0.078	0.085479917	12	14
kde2814xf-515	95	14	35.5	31.7	28	14	24	14.8	515	0.018542323	0.3	0.13	0.051427152	12	14
kde2814xf-775	95	14	35.5	31.7	28	14	36	11.1	775	0.012321673	0.5	0.069	0.046907807	12	14
kde500xf-925-g3	155	NaN	41	37.5	35	14	58	14.8	925	0.010323564	1.2	0.018	0.076947302	12	10
kde4215xf-465	195	18	48.2	36	42	15	62	14.8	465	0.020536122	0.7	0.052	0.090056851	24	22
kde4014xf-380	160	15	46.5	32	40	14	36	14.8	380	0.025129728	0.5	0.075	0.091760792	18	24
kde1806xf-2350	18	6	23	16.7	18	6	18	7.4	2350	0.00406353	0.4	0.117	0.01187984	12	14
kde4213xf-360	175	18	48.2	34	42	13	38	14.8	360	0.026525824	0.4	0.081	0.093202245	24	28
kde4012xf-400	145	15	46.5	30	40	12	32	14.8	400	0.023873241	0.5	0.08	0.084404655	18	24
kde5215xf-220	305	26	60	41	52	15	44	22.2	220	0.043405894	0.5	0.078	0.15541803	24	28
kde5215xf-330	305	26	60	41	52	15	62	14.8	330	0.028937262	0.7	0.044	0.137952986	24	22
kde5215xf-435	305	26	60	41	52	15	72	14.8	435	0.021952406	1.4	0.031	0.124681287	24	22
kde3510xf-475	120	13	42.2	35	35	10	30	14.8	475	0.020103782	0.2	0.105	0.062041619	12	14
kde3510xf-715	120	13	42.2	35	35	10	45	11.1	715	0.01335566	0.5	0.054	0.057473608	12	14
kde2306xf-2050	29	10	28.3	18	23	6	24	7.4	2020	0.004727375	0.6	0.068	0.018128654	12	14
kde2306xf-2550	29	10	28.3	18	23	6	34	7.4	2550	0.003744822	1.2	0.044	0.017852739	12	14
