Name	m [g]	Dc [mm]	Do [mm]	Lo [mm]	Ds [mm]	Ls [mm]	Imax [A]	Vmin [V]	Kv [rpm/V]	Kt [N.m/A]	I0 [A]	R [O]	Km [N.m/sqrt(O)]	Stator slots [-]	Mag. poles [-]
Scorpion	81	nan	27.9	38.3	22	21	52	10	4400	0.002170295	2.89	0.016	0.017157686	nan	nan
Scorpion	223	nan	51.2	38	42	15	30	10	320	0.029841552	0.49	0.062	0.119846556	nan	nan
Scorpion	393	nan	52.3	51.5	42	25	80	10	550	0.017362357	1.77	0.016	0.137261488	nan	nan
Scorpion	205	nan	37.5	51.75	30	26	70	10	890	0.010729547	1.9	0.014	0.090681221	nan	nan
Scorpion	20	nan	30.1	20.57	25	3	11	10	1960	0.00487209	0.44	0.135	0.01326015	nan	nan
Scorpion	12	nan	23	16	18	4	5	6.5	1650	0.005787452	0.25	0.4	0.009150766	nan	nan
Scorpion	68.6	nan	27.9	33	22	15	35	10	1400	0.006820926	0.95	0.095	0.022130007	nan	nan
Scorpion	435	nan	48.8	64.9	40	35	80	10	450	0.021220659	1.71	0.026	0.131604941	nan	nan
Scorpion	87	nan	37.5	29.3	30	11	22	10	760	0.012564864	0.67	0.062	0.050461708	nan	nan
Scorpion	208	nan	48.7	36.1	40	15	26	10	310	0.030804183	0.51	0.109	0.093303179	nan	nan
Scorpion	115	nan	37.5	32.5	30	14	15	10	380	0.025129728	0.27	0.228	0.052628424	nan	nan
